
──────────────────────────────────────────────────
[expanded_ns_v5] 目标=200，最大尝试=1000，并发=4
  ✓ [158/200] 通过（尝试277）
  ✓ [159/200] 通过（尝试280）
  ✓ [160/200] 通过（尝试281）
  ✓ [161/200] 通过（尝试285）
  ✓ [162/200] 通过（尝试286）
  ✓ [163/200] 通过（尝试287）
  ✓ [164/200] 通过（尝试288）
  ✓ [165/200] 通过（尝试289）
  ✓ [166/200] 通过（尝试291）
  ✓ [167/200] 通过（尝试298）
  ✓ [168/200] 通过（尝试299）
  ✓ [169/200] 通过（尝试300）
  ✓ [170/200] 通过（尝试305）
  ✓ [171/200] 通过（尝试306）
  ✓ [172/200] 通过（尝试307）
  ✓ [173/200] 通过（尝试308）
  ✓ [174/200] 通过（尝试309）
  ✓ [175/200] 通过（尝试310）
  ✓ [176/200] 通过（尝试311）
  ✓ [177/200] 通过（尝试313）
  ✓ [178/200] 通过（尝试315）
  ✓ [179/200] 通过（尝试316）
  ✓ [180/200] 通过（尝试317）
  ✓ [181/200] 通过（尝试318）
  ✓ [182/200] 通过（尝试319）
  ✓ [183/200] 通过（尝试322）
  ✓ [184/200] 通过（尝试325）
  ✓ [185/200] 通过（尝试328）
  ✓ [186/200] 通过（尝试330）
  ✓ [187/200] 通过（尝试331）
  ✓ [188/200] 通过（尝试332）
  ✓ [189/200] 通过（尝试334）
  ✓ [190/200] 通过（尝试339）
  ✓ [191/200] 通过（尝试340）
  ✓ [192/200] 通过（尝试342）
  ✓ [193/200] 通过（尝试349）
  ✓ [194/200] 通过（尝试351）
  ✓ [195/200] 通过（尝试352）
  ✓ [196/200] 通过（尝试353）
  ✓ [197/200] 通过（尝试354）
  ✓ [198/200] 通过（尝试355）
  ✓ [199/200] 通过（尝试356）
  ✓ [200/200] 通过（尝试357）
[expanded_ns_v5] 完成：200/200

✓ 输出：round3/data/ns_v5_extra.jsonl（200 条）
