
──────────────────────────────────────────────────
[expanded_ns_v5] 目标=300，最大尝试=1500，并发=6
  ✓ [158/300] 通过（尝试333）
  ✓ [159/300] 通过（尝试338）
  ✓ [160/300] 通过（尝试341）
  ✓ [161/300] 通过（尝试342）
  ✓ [162/300] 通过（尝试343）
  ✓ [163/300] 通过（尝试347）
  ✓ [164/300] 通过（尝试348）
  ✓ [165/300] 通过（尝试349）
  ✓ [166/300] 通过（尝试351）
  ✓ [167/300] 通过（尝试352）
  ✓ [168/300] 通过（尝试353）
  ✓ [169/300] 通过（尝试358）
  ✓ [170/300] 通过（尝试359）
  ✓ [171/300] 通过（尝试360）
  ✓ [172/300] 通过（尝试364）
  ✓ [173/300] 通过（尝试366）
  ✓ [174/300] 通过（尝试367）
  ✓ [175/300] 通过（尝试370）
  ✓ [176/300] 通过（尝试376）
  ✓ [177/300] 通过（尝试377）
  ✓ [178/300] 通过（尝试378）
  ✓ [179/300] 通过（尝试382）
  ✓ [180/300] 通过（尝试384）
  ✓ [181/300] 通过（尝试385）
  ✓ [182/300] 通过（尝试387）
  ✓ [183/300] 通过（尝试389）
  ✓ [184/300] 通过（尝试390）
  ✓ [185/300] 通过（尝试394）
  ✓ [186/300] 通过（尝试396）
  ✓ [187/300] 通过（尝试397）
  ✓ [188/300] 通过（尝试398）
  ✓ [189/300] 通过（尝试400）
  ✓ [190/300] 通过（尝试401）
  ✓ [191/300] 通过（尝试402）
  ✓ [192/300] 通过（尝试403）
  ✓ [193/300] 通过（尝试404）
  ✓ [194/300] 通过（尝试405）
  ✓ [195/300] 通过（尝试406）
  ✓ [196/300] 通过（尝试407）
  ✓ [197/300] 通过（尝试410）
  ✓ [198/300] 通过（尝试412）
  ✓ [199/300] 通过（尝试413）
  ✓ [200/300] 通过（尝试416）
  ✓ [201/300] 通过（尝试417）
  ✓ [202/300] 通过（尝试418）
  ✓ [203/300] 通过（尝试420）
  ✓ [204/300] 通过（尝试421）
  ✓ [205/300] 通过（尝试423）
  ✓ [206/300] 通过（尝试424）
  ✓ [207/300] 通过（尝试426）
  ✓ [208/300] 通过（尝试430）
  ✓ [209/300] 通过（尝试435）
  ✓ [210/300] 通过（尝试436）
  ✓ [211/300] 通过（尝试437）
  ✓ [212/300] 通过（尝试441）
  ✓ [213/300] 通过（尝试449）
  ✓ [214/300] 通过（尝试451）
  ✓ [215/300] 通过（尝试452）
  ✓ [216/300] 通过（尝试454）
  ✓ [217/300] 通过（尝试455）
  ✓ [218/300] 通过（尝试456）
  ✓ [219/300] 通过（尝试462）
  ✓ [220/300] 通过（尝试463）
  ✓ [221/300] 通过（尝试464）
  ✓ [222/300] 通过（尝试465）
  ✓ [223/300] 通过（尝试466）
  ✓ [224/300] 通过（尝试467）
  ✓ [225/300] 通过（尝试468）
  ✓ [226/300] 通过（尝试471）
  ✓ [227/300] 通过（尝试472）
  ✓ [228/300] 通过（尝试481）
  ✓ [229/300] 通过（尝试486）
  ✓ [230/300] 通过（尝试487）
  ✓ [231/300] 通过（尝试489）
  ✓ [232/300] 通过（尝试492）
  ✓ [233/300] 通过（尝试494）
  ✓ [234/300] 通过（尝试497）
  ✓ [235/300] 通过（尝试503）
  ✓ [236/300] 通过（尝试510）
  ✓ [237/300] 通过（尝试511）
  ✓ [238/300] 通过（尝试512）
  ✓ [239/300] 通过（尝试514）
  ✓ [240/300] 通过（尝试515）
  ✓ [241/300] 通过（尝试517）
  ✓ [242/300] 通过（尝试518）
  ✓ [243/300] 通过（尝试521）
  ✓ [244/300] 通过（尝试523）
  ✓ [245/300] 通过（尝试524）
  ✓ [246/300] 通过（尝试526）
  ✓ [247/300] 通过（尝试527）
