[Sat Apr 25 03:52:29 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 03:54:29 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 03:56:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 03:58:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:00:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:02:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:04:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:06:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:08:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:10:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:12:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:14:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:16:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:18:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:20:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:22:30 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:24:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:26:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:28:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:30:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:32:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:34:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:36:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:38:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:40:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:42:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:44:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:46:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:48:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=false
[Sat Apr 25 04:50:31 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 04:52:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 04:54:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 04:56:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 04:58:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:00:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:02:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:04:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:06:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:08:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:10:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:12:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:14:32 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:16:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:18:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:20:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:22:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:24:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:26:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:28:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:30:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:32:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:34:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:36:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:38:33 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:40:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:42:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:44:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:46:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:48:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:50:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:52:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:54:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:56:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 05:58:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:00:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:02:34 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:04:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:06:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:08:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:10:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:12:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:14:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:16:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:18:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:20:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:22:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:24:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:26:35 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:28:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:30:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:32:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:34:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:36:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:38:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:40:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:42:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:44:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:46:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:48:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:50:36 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:52:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:54:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:56:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 06:58:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:00:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:02:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:04:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:06:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:08:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:10:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:12:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:14:37 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:16:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:18:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:20:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:22:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:24:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:26:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:28:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:30:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:32:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:34:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:36:38 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:38:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:40:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:42:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:44:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:46:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:48:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:50:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:52:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:54:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:56:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 07:58:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:00:39 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:02:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:04:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:06:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:08:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:10:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:12:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:14:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:16:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:18:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:20:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:22:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:24:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:26:40 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:28:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:30:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:32:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:34:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:36:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:38:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:40:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:42:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:44:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:46:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:48:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:50:41 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:52:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:54:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:56:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 08:58:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:00:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:02:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:04:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:06:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:08:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:10:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:12:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:14:42 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:16:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:18:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:20:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:22:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:24:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:26:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:28:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:30:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:32:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:34:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:36:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:38:43 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:40:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:42:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:44:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:46:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:48:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:50:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:52:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:54:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:56:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 09:58:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:00:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:02:44 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:04:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:06:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:08:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:10:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:12:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:14:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:16:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:18:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:20:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:22:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:24:45 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:26:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:28:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:30:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:32:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:34:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:36:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:38:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:40:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:42:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:44:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:46:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:48:46 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:50:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:52:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:54:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:56:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 10:58:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:00:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:02:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:04:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:06:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:08:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:10:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:12:47 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:14:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:16:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:18:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:20:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:22:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:24:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:26:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:28:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
[Sat Apr 25 11:30:48 AM CST 2026] Waiting... 5 B10 results missing, v4_ready=true
